#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
23.82801,72,453.140477
23.87801,72,454.693183
24.27701,73,456.220188
23.82801,72,458.15457
23.87801,72,459.897871
23.87801,72,461.204259
23.87801,72,462.554162
23.87801,72,463.989295
23.82801,72,465.459302
23.87801,72,466.983691
24.57601,74,468.813236
22.930008,70,470.151709
24.22701,73,471.845097
23.82801,72,473.217542
23.82801,72,474.67154
23.87801,72,476.238391
23.82801,72,478.194206
23.87801,72,479.870293
22.880009,70,481.815764
23.87801,72,483.297475
23.87801,72,485.380925
23.87801,72,486.878928
23.87801,72,493.733469
23.87801,72,495.044558
23.87801,72,496.415781
22.930008,70,497.814457
23.87801,72,499.289009
23.87801,72,500.637049
23.82801,72,502.606432
23.87801,72,504.158098
24.57601,74,506.144626
23.87801,72,507.576741
23.329008,71,509.572847
22.930008,70,510.870123
24.57601,74,513.097585
23.329008,71,514.545495
23.87801,72,516.746616
23.87801,72,518.122659
23.87801,72,519.953113
23.87801,72,521.259664
23.82801,72,523.015524
23.87801,72,524.38992
23.87801,72,525.788676
23.87801,72,527.856371
23.87801,72,529.406451
23.87801,72,531.393946
23.87801,72,532.768992
23.87801,72,534.606546
24.27701,73,536.103947
23.87801,72,538.683884
23.87801,72,545.881779
23.87801,72,547.241906
24.52601,74,548.611883
23.87801,72,549.92504
23.87801,72,551.403594
23.87801,72,554.245281
23.82801,72,555.995502
23.87801,72,557.326971
23.87801,72,558.762349
23.87801,72,560.160174
23.82801,72,561.648651
23.87801,72,563.919865
23.87801,72,565.733938
23.87801,72,567.101862
23.87801,72,568.404658
23.87801,72,569.748404
23.87801,72,571.363163
23.82801,72,573.179976
23.87801,72,574.507527
23.87801,72,576.600207
23.82801,72,578.366012
23.87801,72,580.016736
23.82801,72,581.471068
23.87801,72,582.958709
23.82801,72,584.281644
23.87801,72,585.59072
23.82801,72,587.127032
23.87801,72,589.293476
23.87801,72,590.995411
23.87801,72,597.901335
23.82801,72,599.563841
23.728008,72,600.92148
23.82801,72,602.779699
23.87801,72,604.400803
23.87801,72,605.78693
23.87801,72,607.330563
23.87801,72,608.680806
23.87801,72,609.990769
23.728008,72,611.280047
24.57601,74,613.562889
23.87801,72,615.312132
23.87801,72,617.159331
24.27701,73,618.481417
23.82801,72,619.993001
23.87801,72,621.308101
23.87801,72,623.157592
23.87801,72,625.053103
23.82801,72,626.949032
23.82801,72,628.227134
23.87801,72,629.612102
23.82801,72,631.124851
23.82801,72,632.982959
23.87801,72,634.549228
23.87801,72,636.66811
23.82801,72,637.951589
23.82801,72,639.252352
24.57601,74,640.609158
23.82801,72,648.338928
23.82801,72,649.758883
23.87801,72,651.221073
23.87801,72,653.022133
23.87801,72,654.826967
23.82801,72,656.490797
24.52601,74,657.89216
23.87801,72,659.317665
23.82801,72,660.761939
23.87801,72,662.231384
23.82801,72,664.066313
23.82801,72,665.419023
23.87801,72,667.469383
22.880009,70,668.833771
23.87801,72,670.2574
23.87801,72,671.993381
23.82801,72,674.424998
